"date","name","description","type","locations"
"2018-03-17","St Patrick's Day","St Patrick’s Day is a popular observance in Australia to honor Irish culture and commemorate one of Ireland’s patron saints, St Patrick.","Observance","All"
"2018-03-21","March Equinox",NA,"Season","All"
"2018-03-21","Harmony Day","Harmony Day is a national observance that celebrates Australia’s cultural, linguistic and religious diversity on March 21 every year.","Observance","All"
"2018-03-25","Palm Sunday","Palm Sunday in Australia celebrates Jesus Christ’s entry into Jerusalem. It is also the Sunday before Easter Sunday.","Christian","All"
"2018-03-29","Maundy Thursday","Many Christians in the Australia celebrate Maundy Thursday on the Thursday before Good Friday.","Christian","All"
"2018-03-30","Good Friday","Good Friday is two days before Easter Sunday and is a national holiday in Australia.","National holiday, Christian","All"
"2018-03-31","First day of Passover"," Passover is a Jewish observance of the liberation from slavery and the Israelites' exodus from Egypt around 3000 years ago.","Hebrew","All"
"2018-04-01","Daylight Saving Time ends",NA,"Clock change/Daylight Saving Time","All"
"2018-03-31","Holy Saturday","Holy Saturday is the day before Easter Sunday and is a public holiday in some states and the two territories in Australia.","Common local holiday","All except Tas, WA"
"2018-04-01","Easter Day","On Easter Sunday, Christians celebrate the resurrection of Jesus Christ after his crucifixion.","Local holiday","NSW"
"2018-04-01","Easter Day","On Easter Sunday, Christians celebrate the resurrection of Jesus Christ after his crucifixion.","Local holiday","ACT"
"2018-04-01","Easter Day","On Easter Sunday, Christians celebrate the resurrection of Jesus Christ after his crucifixion.","Local holiday","Qld"
"2018-04-01","Easter Day","On Easter Sunday, Christians celebrate the resurrection of Jesus Christ after his crucifixion.","Local holiday","Vic"
"2018-04-01","Easter Day","On Easter Sunday, Christians celebrate the resurrection of Jesus Christ after his crucifixion.","Observance","All"
"2018-04-02","Easter Monday","Easter Monday is the day after Easter Sunday and is a nationwide holiday in Australia.","National holiday, Christian","All"
"2018-04-03","Easter Tuesday","Easter Tuesday is a public holiday in the Australian state of Tasmania.","Local holiday","Tas"
"2018-04-06","Orthodox Good Friday","Many Orthodox Christians in Australia remember the events leading up to Jesus Christ's crucifixion on Great Friday.","Orthodox","All"
"2018-04-07","Last day of Passover","The last day of Passover marks the end of the Passover period, which lasts for seven or eight days.","Hebrew","All"
"2018-04-07","Orthodox Holy Saturday","Many Orthodox Christians in Australia remember Jesus Christ’s burial and his descent into Hades on Holy Saturday.","Orthodox","All"
"2018-04-08","Orthodox Easter","Many Orthodox Christians in Australia celebrate Jesus Christ’s resurrection on Easter Sunday, also known as Pascha.","Orthodox","All"
"2018-04-09","Orthodox Easter Monday","Many Orthodox churches in Australia observe Easter Monday on the day after the Orthodox Easter Sunday date.","Orthodox","All"
"2018-04-12","Yom HaShoah","Yom Hashoah remembers the lives and sacrifices of about six million Holocaust victims who died during World War II. This observance is annually held on the 27th day of the month of Nisan.","Hebrew","All"
"2018-04-13","Isra and Mi'raj","Isra and Mi'raj (Isra Me'raj, Israa and Mi'raaj, Laylat Al-Isra wa Al-Miraj, Lailat al Miraj, Night Journey and Ascension to Heaven) marks the night when the Prophet Mohammad traveled from Mecca to Jerusalem, ascended to heaven and returned.","Muslim","All"
"2018-04-19","Yom HaAtzmaut","Many Jewish communities in Australia celebrate Yom Ha’Atzmaut, which is Israel’s Independence Day, on the fifth day of the month of Iyar in the Jewish calendar.","Hebrew","All"
"2018-04-25","ANZAC Day","ANZAC Day is the anniversary of the landing of troops from Australia and New Zealand on the Gallipoli Peninsula in Turkey during in World War I.","National holiday","All except NT, WA"
"2018-04-25","ANZAC Day","ANZAC Day is the anniversary of the landing of troops from Australia and New Zealand on the Gallipoli Peninsula in Turkey during in World War I.","National holiday","WA"
"2018-04-25","ANZAC Day","ANZAC Day is the anniversary of the landing of troops from Australia and New Zealand on the Gallipoli Peninsula in Turkey during in World War I.","National holiday","NT"
"2018-05-03","Lag B'Omer","Many Jewish Australians observe Lag B’Omer on the 18th day of the month of Iyar in the Jewish calendar.","Hebrew","All"
"2018-05-07","May Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","NT"
"2018-05-07","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","Qld"
"2018-05-10","Ascension Day","Ascension Day is the 40th day of Easter and commemorates Jesus Christ’s ascension into heaven, according to Christian belief.","Christian","All"
"2018-05-13","Mother's Day","Mother’s Day is celebrated in Australia on the second Sunday of May each year.","Observance","All"
"2018-05-16","Ramadan Start","Many Muslims in Australia welcome Ramadan as period of fasting, self-evaluation and spiritual growth. Ramadan is the ninth month in the Islamic calendar.","Muslim","All"
"2018-05-20","Pentecost","Many Christians in Australia observe Pentecost, also known as Whitsunday or Whit Sunday.","Christian","All"
"2018-05-20","Shavuot","Shavuot, also known as the Festival of Weeks, is one of three major Jewish festivals celebrated among many Jewish Australians.","Hebrew","All"
"2018-05-21","Whit Monday","Whit Monday is a Christian observance also known as Pentecost Monday. It is the day after Pentecost, or Whitsunday.","Christian","All"
"2018-05-26","National Sorry Day","National Sorry Day is an Australia-wide observance that acknowledges the impact of Australia’s Stolen Generations.","Observance","All"
"2018-05-27","Trinity Sunday","Many churches in Australia observe Trinity Sunday, a Christian feast that occurs on the first Sunday after Pentecost.","Christian","All"
"2018-05-28","Reconciliation Day","Reconciliation Day is a state holiday in the Australian Capital Territory.","Local holiday","ACT"
"2018-05-31","Corpus Christi","Corpus Christi is a Christian observance that honors the Holy Eucharist.","Christian","All"
"2018-06-04","Western Australia Day","Foundation Day is a public holiday in the state of Western Australia to commemorate the founding of the first British colony in the state.","Common local holiday","WA"
"2018-06-06","Queensland Day","Queenslanders commemorate their state’s birthday on Queensland Day in Australia.","Local observance","All"
"2018-06-10","Laylatul Qadr (Night of Power)","Laylat al-Qadr is most likely to be held on one of the last 10 days of month of Ramadan in the Islamic calendar.","Muslim","All"
"2018-06-11","Queen's Birthday","Many Australians celebrate the Queen's Birthday each year, as Australia is a constitutional monarchy.","Common local holiday","All except Qld, WA"
"2018-06-15","Eid ul Fitr","Eid al-Fitr, which is on the first day of the Islamic month of Shawwal, marks the end of the month-long fast of Ramadan.","Muslim","All"
"2018-06-21","June Solstice",NA,"Season","All"
"2018-07-08","First Day of NAIDOC Week",NA,"Observance","All"
"2018-07-22","Tisha B'Av","Tisha B’Av is on the ninth day of the month of Av in the Jewish calendar.","Hebrew","All"
"2018-08-06","New South Wales Bank Holiday","The New South Wales Bank Holiday falls on the first Monday of August.","Local holiday","NSW"
"2018-08-06","Northern Territory Picnic Day","Picnic Day is a public holiday annually held in Australia’s Northern Territory on the first Monday of August.","Local holiday","NT"
"2018-08-15","Assumption of Mary","The Feast of the Assumption of Mary is an annual Christian observance in Australia held on August 15. It is considered a Holy Day of Obligation - a day when some Christian denominations are obliged to attend mass.","Christian","All"
"2018-08-15","Royal National Agricultural Show Day Queensland","The Royal National Agricultural (RNA) Show Day is usually held in Brisbane, the capital city of the state of Queensland, Australia, on the second or third Wednesday in August.","Local holiday","Qld"
"2018-08-22","Eid ul Adha","Many Muslims in Australia celebrate Eid al- Adha around the 10th to the 13th days of the Islamic month of Dhu al-Hijjah.","Muslim","All"
"2018-09-02","Father's Day","Father’s Day celebrates the contribution that fathers and father figures make to their children’s lives.","Observance","All"
"2018-09-10","Rosh Hashana","Rosh Hashana, also spelled Rosh Hashanah, is commonly known as the Jewish New Year. The event begins on the first day of Tishrei (or Tishri), which is the seventh month in the Jewish calendar.","Hebrew","All"
"2018-09-12","Muharram/Islamic New Year","Muharram is the first month of the Islamic calendar and a time of remembrance or mourning.","Muslim","All"
"2018-09-19","Yom Kippur","Yom Kippur is an important Jewish holiday that falls on the 10th day of the month of Tishrei in the Jewish calendar.","Hebrew","All"
"2018-09-23","September Equinox",NA,"Season","All"
"2018-09-24","First day of Sukkot","The first day of Sukkot marks the start of the Sukkot festival for Jewish communities in Australia.","Hebrew","All"
"2018-09-24","Queen's Birthday","Many Australians celebrate the Queen's Birthday each year, as Australia is a constitutional monarchy.","Common local holiday","WA"
"2018-09-28","AFL Grand Final Friday",NA,"Local holiday","Vic"
"2018-09-30","Hoshana Rabbah","Many Jewish communities in Australia observe the last day of Sukkot, which marks the end of the Sukkot festival.","Hebrew","All"
